"filename", "language", "JSON", "Markdown", "JSON with Comments", "Pug", "JavaScript", "HTML", "Vue", "SCSS", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\杨易卓-毕业论文\graduation-project\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\details.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\results.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\杨易卓-毕业论文\graduation-project\admin\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32
"d:\杨易卓-毕业论文\graduation-project\admin\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admin\package-lock.json", "JSON", 12615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12616
"d:\杨易卓-毕业论文\graduation-project\admin\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\杨易卓-毕业论文\graduation-project\admin\public\index.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 3, 32
"d:\杨易卓-毕业论文\graduation-project\admin\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 14, 4, 82
"d:\杨易卓-毕业论文\graduation-project\admin\src\components\add-dialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 22, 10, 291
"d:\杨易卓-毕业论文\graduation-project\admin\src\components\background-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 5, 70
"d:\杨易卓-毕业论文\graduation-project\admin\src\components\no-data.vue", "Vue", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\杨易卓-毕业论文\graduation-project\admin\src\components\search-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 4, 68
"d:\杨易卓-毕业论文\graduation-project\admin\src\components\upload.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 7, 4, 105
"d:\杨易卓-毕业论文\graduation-project\admin\src\lib\config.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 59
"d:\杨易卓-毕业论文\graduation-project\admin\src\main.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 18, 5, 64
"d:\杨易卓-毕业论文\graduation-project\admin\src\router\index.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 19, 5, 111
"d:\杨易卓-毕业论文\graduation-project\admin\src\store\index.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 6, 54
