Date : 2022-04-05 15:19:19
Directory : d:\杨易卓-毕业论文\graduation-project
Total : 176 files,  41917 codes, 821 comments, 1145 blanks, all 43883 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          8 |     29,425 |          0 |          7 |     29,432 |
| Vue                |         63 |      8,696 |        353 |        515 |      9,564 |
| JavaScript         |         69 |      3,064 |        428 |        390 |      3,882 |
| SCSS               |          6 |        346 |         19 |         82 |        447 |
| Markdown           |          9 |        265 |          0 |        131 |        396 |
| HTML               |          3 |         72 |          3 |          7 |         82 |
| Pug                |          3 |         16 |          0 |          5 |         21 |
| XML                |         11 |         11 |          0 |          0 |         11 |
| YAML               |          2 |         10 |         13 |          6 |         29 |
| CSS                |          1 |          7 |          0 |          2 |          9 |
| JSON with Comments |          1 |          5 |          5 |          0 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        176 |     41,917 |        821 |      1,145 |     43,883 |
| admin                                                                                    |         37 |     17,466 |        250 |        311 |     18,027 |
| admin\.VSCodeCounter                                                                     |          5 |         91 |          0 |         26 |        117 |
| admin\.VSCodeCounter\2022-04-05_15-18-09                                                 |          5 |         91 |          0 |         26 |        117 |
| admin\public                                                                             |          1 |         28 |          1 |          3 |         32 |
| admin\src                                                                                |         26 |      4,632 |        245 |        265 |      5,142 |
| admin\src\components                                                                     |          5 |        485 |         37 |         26 |        548 |
| admin\src\lib                                                                            |          1 |         59 |          0 |          0 |         59 |
| admin\src\router                                                                         |          1 |         87 |         19 |          5 |        111 |
| admin\src\store                                                                          |          1 |         44 |          4 |          6 |         54 |
| admin\src\utils                                                                          |          2 |         46 |         12 |          5 |         63 |
| admin\src\views                                                                          |         14 |      3,806 |        141 |        214 |      4,161 |
| admin\src\views\detail-pages                                                             |          3 |      1,156 |         62 |         54 |      1,272 |
| admins                                                                                   |         88 |      3,397 |        241 |        481 |      4,119 |
| admins\build                                                                             |          1 |         28 |          0 |          8 |         36 |
| admins\mock                                                                              |          5 |        225 |         21 |         35 |        281 |
| admins\public                                                                            |          1 |         16 |          1 |          1 |         18 |
| admins\src                                                                               |         63 |      2,382 |        167 |        324 |      2,873 |
| admins\src\api                                                                           |          2 |         29 |          0 |          6 |         35 |
| admins\src\components                                                                    |          3 |        168 |          3 |         16 |        187 |
| admins\src\components\Breadcrumb                                                         |          1 |         70 |          2 |          7 |         79 |
| admins\src\components\Hamburger                                                          |          1 |         41 |          0 |          4 |         45 |
| admins\src\components\SvgIcon                                                            |          1 |         57 |          1 |          5 |         63 |
| admins\src\icons                                                                         |         13 |         22 |         14 |          8 |         44 |
| admins\src\icons\svg                                                                     |         11 |         11 |          0 |          0 |         11 |
| admins\src\layout                                                                        |         11 |        599 |         13 |         62 |        674 |
| admins\src\layout\components                                                             |          9 |        473 |         11 |         50 |        534 |
| admins\src\layout\components\Sidebar                                                     |          6 |        313 |          9 |         27 |        349 |
| admins\src\layout\mixin                                                                  |          1 |         40 |          2 |          4 |         46 |
| admins\src\router                                                                        |          1 |        140 |         26 |         16 |        182 |
| admins\src\store                                                                         |          5 |        174 |          5 |         30 |        209 |
| admins\src\store\modules                                                                 |          3 |        150 |          5 |         25 |        180 |
| admins\src\styles                                                                        |          6 |        346 |         19 |         82 |        447 |
| admins\src\utils                                                                         |          5 |        170 |         55 |         27 |        252 |
| admins\src\views                                                                         |         13 |        651 |          3 |         51 |        705 |
| admins\src\views\dashboard                                                               |          1 |         25 |          0 |          4 |         29 |
| admins\src\views\form                                                                    |          1 |         37 |          0 |          4 |         41 |
| admins\src\views\login                                                                   |          1 |        210 |          3 |         25 |        238 |
| admins\src\views\nested                                                                  |          7 |         41 |          0 |          7 |         48 |
| admins\src\views\nested\menu1                                                            |          6 |         36 |          0 |          6 |         42 |
